FLIGHT NUMBER,DESTINATION,DEPARTURE TIME,GATE NUMBER
TP339,Zwolle,23:59,Y2
TA467,Zwingle,23:58,Q2
XF948,Zurich,23:58,A9
FA739,Zuni,23:58,T0
UM905,Zumbrota,23:58,W0
TQ974,Zumbro Falls,23:58,W2
AP793,Zona,23:58,L3
MC816,Zolfo Springs,23:57,J6
AV832,Zoar,23:57,M3
VY862,Zita,23:57,F0
QD989,Zionsville,23:57,G6
WU523,Zion,23:57,B0
UP463,Zinc,23:57,N8
YD126,Zimmerman,23:57,S9
RV602,Zim,23:56,G3
GL874,Zilwaukee,23:56,K8
KS744,Zillah,23:56,J7
IB667,Zia Pueblo,23:56,K1
OI279,Zephyrhills,23:56,R0
EL453,Zephyr Cove,23:56,P4
XS625,Zephyr,23:56,E8
OG062,Zenith,23:55,H4
VX384,Zenda,23:55,D7
RX897,Zena,23:55,I4
JA969,Zemple,23:55,O5
JD267,Zellwood,23:55,Z8
VK231,Zell,23:55,Y4
KJ490,Zelienople,23:55,N0
VP527,Zela,23:54,H4
NC555,Zeigler,23:54,P5
GS874,Zeeland,23:54,U0
QP796,Zebulon,23:54,G2
FQ205,Zebina,23:54,N7
NY705,Zearing,23:54,R5
KL708,Zavalla,23:54,K7
TB341,Zarah,23:53,T1
JB140,Zapata,23:53,I7
NC440,Zap,23:53,U5
CG690,Zanesville,23:53,E5
PB413,Zanesfield,23:53,G2
BU082,Zama,23:53,S3
NL457,Zalma,23:53,D5
BJ639,Zaleski,23:52,V4
PA417,Zahl,23:52,Z3
ZS669,Zag,23:52,A7
XO725,Zafra,23:52,I1
LN328,Zachary,23:52,Q9
ZY011,Yutan,23:52,A7
LT733,Yuma,23:52,B4
GL277,Yulee,23:51,S4
BI132,Yukon,23:51,X1
QS736,Yucca Valley,23:51,L3
GA233,Yucca,23:51,H0
TZ155,Yucaipa,23:51,E7
XJ752,Yuba City,23:51,G5
MX847,Yuba,23:51,A6
VO707,Yscloskey,23:50,V7
IE618,Yreka,23:50,I4
UN212,Ypsilanti,23:50,G5
IX627,Yountville,23:50,G7
DK210,Youngwood,23:50,Q7
VR764,Youngtown,23:50,K7
RR994,Youngsville,23:50,I6
KE246,Youngstown,23:49,F6
UW169,Young Harris,23:49,A8
AM783,Young America,23:49,V4
JD591,Yosemite Village,23:49,Z1
FO308,Yosemite,23:49,R0
WJ863,Yorkville,23:49,J3
MJ818,Yorktown Heights,23:49,U9
RV442,Yorktown,23:48,D1
NM770,Yorkshire,23:48,E3
JO640,Yorklyn,23:48,W1
ET718,Yorkfield,23:48,E4
TB090,Yorketown,23:48,D6
MJ543,Yorkana,23:48,S1
RM361,York Springs,23:48,H4
OX958,York Haven,23:47,T6
RT939,York Center,23:47,A9
YQ394,York,23:47,Z5
SH373,Yorba Linda,23:47,Y9
KP307,Yonkers,23:47,H9
HB212,Yoncalla,23:47,E6
BU471,Yoman,23:47,C3
KG052,Yolo,23:46,T3
VI466,Yoe,23:46,T7
AC158,Yoder,23:46,Q5
OX000,Yocemento,23:46,G4
XW652,Yoakum,23:46,O4
SW912,Yewed,23:46,Z0
DG094,Yetter,23:46,O6
OW045,Yerkes,23:45,U1
AK261,Yerington,23:45,Q3
TB225,Yeoman,23:45,Z0
VI359,Yemassee,23:45,G3
PE882,Yelvington,23:45,Q9
MN606,Yelm,23:45,U9
DB077,Yellville,23:45,I5
LH184,Yellow Springs,23:44,F6
SD112,Yellow Pine,23:44,C7
UC242,Yellow Lake,23:44,B9
TF582,Yellow Jacket,23:44,N9
KE035,Yellow Bluff,23:44,G3
CF682,Yeddo,23:44,K6
VZ324,Yeagertown,23:44,Z9
JC729,Yeager,23:43,X0
BV539,Yeadon,23:43,P7
DB159,Yazoo City,23:43,T3
ZT492,Yaurel,23:43,K7
CX593,Yaupon Beach,23:43,E8
HR943,Yauco,23:43,F9
LT003,Yatesville,23:43,E1
KP970,Yatesboro,23:42,J0
RO549,Yates City,23:42,E4
DO005,Yates Center,23:42,P3
RI636,Yates,23:42,T9
VX206,Yarrow Point,23:42,O7
JF188,Yarnell,23:42,A0
IX865,Yarmouth Port,23:42,W2
HC343,Yarmouth,23:41,I7
UN866,Yardville,23:41,E8
OX573,Yardley,23:41,H5
NL887,Yarbo,23:41,Y9
