FLIGHT NUMBER,DESTINATION,DEPARTURE TIME,GATE NUMBER
PD806,Ringold,06:51,I1
PU044,Mountville,20:07,B1
NU901,Wakenda,00:42,A8
UY619,Patetown,09:53,P8
GL259,Glenolden,20:28,K9
EX810,North New Hyde Park,19:46,G5
IB762,Hazardville,15:04,X9
RK687,Adams Center,13:58,T0
VO407,Attalla,05:44,R8
XN440,Thalia,21:11,C5
OR933,Fallis,12:29,N8
RM916,Buffalo City,16:46,E6
BN712,Mallory,14:12,Z0
AP962,Sharon,00:07,R6
CD536,Simnasho,15:45,Q1
PB756,Mossville,11:37,Y5
NQ331,Piney Woods,03:44,K6
PS944,Avon Park,04:43,X9
RT008,Hanley Falls,10:44,B6
UO124,Kelly,06:16,H5
QI253,Rand,04:38,Z6
HE001,Discovery Bay,08:20,M9
PG008,Willow Creek,18:10,W3
ND771,Marathon Shores,13:47,L8
UB779,Nushagak,16:10,D5
QV653,Sinking Spring,18:43,T3
TF837,Sarasota Springs,06:49,K1
LZ018,Orange City,07:42,D6
RV199,Nelagoney,05:43,T5
WE066,Poplar Branch,00:16,W0
ET998,Glasco,12:39,B2
AB848,Richardson,12:25,G8
BE230,Avery,19:53,T4
TF261,Mineville,18:11,Q8
DD749,Loysville,20:01,C6
MR020,Rayburn,21:01,P9
OY684,New Whiteland,15:04,S5
UM653,Mardela Springs,14:59,E2
AT253,Colonie,18:53,S4
UZ491,Jerryville,08:36,I8
VS770,Lexington Heights,17:42,P2
FQ164,Winkelman,15:35,G7
XO738,Smithwick,14:24,N0
ML526,Keener,14:07,N0
CF895,Cahaba Heights,15:57,C1
PJ984,Mount Gilead,16:55,K2
VA218,Juntura,13:42,K4
HQ084,South Zanesville,19:17,C3
LP339,Castella,21:02,E8
DN802,Fabens,07:31,Q4
ZY701,Linda,03:10,G5
SG619,Kensington Park,18:23,L3
VM411,Woodworth,07:09,G2
HZ962,Coffey,11:50,N7
CC148,Buechel,09:25,V4
HV994,Auvergne,08:45,S4
JJ869,Liberty Hill,07:30,P0
GN914,Mandeville,23:52,B9
AG213,Center Ossipee,18:42,K1
OY678,Tuolumne,15:38,B1
RI011,Carlile,19:51,Y3
BL802,Cobre,20:55,I8
OZ728,Big Stone City,22:27,M4
SN310,Guymon,13:11,L3
CQ055,Oak Park Heights,22:09,D8
ZI910,Heaton,13:40,W2
IT541,Keyport,00:14,G9
VJ208,Crowders,23:48,J0
PF512,Cotulla,17:07,D1
JY726,Metaline,00:30,R5
BU139,Rio Grande,18:19,N7
WC478,Zilwaukee,03:03,P7
WN962,Santa Ynez,05:40,U0
UU752,Mount Nebo,10:23,Q1
ZC261,Manassas,09:20,X2
ZJ854,Marmarth,00:35,I4
EN575,Brillion,02:11,P5
LA413,Hornbeak,13:28,R9
CA851,De Forest,16:39,H5
XN603,Sun City Center,21:24,O3
LF900,Layton,14:25,B5
UZ064,Belwood,02:22,I5
ZL788,Ingot,21:27,N1
KL806,Alderson,01:49,J5
SW474,Deerton,09:46,O5
XL514,Harveys Lake,02:13,K5
KA561,Gagetown,18:26,Q6
CN646,Zenith,16:40,G3
IJ914,Mountain View,11:35,N8
LD274,Batesville,19:05,N3
BM423,Artondale,22:08,D1
KV401,Mulberry,00:22,P9
DQ687,Bridge,10:57,M9
MF279,Glen Allan,01:02,C0
DV799,Minersville,08:04,X7
AQ803,Lafitte,04:21,X9
CH316,Felida,18:17,N7
OT869,Powhatan Point,00:08,X6
JG706,Marvin,15:00,I4
NK951,Frostproof,07:40,N7
